version,run_order,script_path,purpose
v1,1,src/v1/preprocessing/extract_book.py,"Scrape raw text (Crime & Punishment) into corpus files"
v1,2,src/v1/preprocessing/load_text.py,"Clean and tokenize raw text; save tokens"
v1,3,src/v1/preprocessing/filter_vocab.py,"Build filtered vocabulary from token counts"
v1,4,src/v1/preprocessing/ipa_convert.py,"Transliterate vocabulary to IPA using Epitran"
v1,5,src/v1/preprocessing/phonetic_preprocessing.py,"Build IPA character vocab and fixed-length encodings"
v1,6,src/v1/embeddings/phonetic_contrastive_dataset.py,"Produce triplet dataset for contrastive training"
v1,7,src/v1/embeddings/train_phonetic_encoder.py,"Train the LSTM-based phonetic encoder (triplet loss)"
v1,8,src/v1/embeddings/run_phonetic_embeddings.py,"Generate & save phonetic embeddings using trained encoder"
v1,9,src/v1/embeddings/run_semantic_embeddings.py,"Encode vocabulary with SentenceTransformer and save semantic embeddings"
v1,10,src/v1/embeddings/run_fused_embeddings.py,"Fuse phonetic + semantic vectors and save fused embeddings"
v1,11,src/v1/visualisations/phonetic_semantic_spaces.py,"t-SNE visualisations & neighbour listings for phonetic/semantic/fused spaces"
v1,12,src/v1/visualisations/phonetic_semantic_umap.py,"UMAP visualisations for phonetic/semantic/fused spaces"
v1,13,src/v1/visualisations/alpha_sweep_umap.py,"Sweep α (semantic↔phonetic blend) and plot trajectories"
v1,14,src/v1/visualisations/sentence_umap.py,"UMAP visualisations for sentence-level embeddings"
v2,1,src/v2/preprocessing/build_lemma_list.py,"Extract and filter lemma frequency list from corpora (Natasha)"
v2,2,src/v2/phonetics/build_ipa_lexicon.py,"Transliterate top-N lemmas to IPA (Epitran)"
v2,3,src/v2/phonetics/build_distance_matrix.py,"Compute pairwise panphon weighted feature edit-distance matrix (.npy)"
v2,4,src/v2/visualisation/build_knn_graph.py,"Build k-NN phonetic graph (JSON) from distance matrix"
v2,5,src/v2/visualisation/distance_umap.py,"Run UMAP on precomputed distances and plot"
v2,6,src/v2/visualisation/interactive_phonetic_explorer.py,"Interactive Plotly explorer with IPA hover and neighbours; export HTML"
v2,7,src/v2/visualisation/visualise_phonetic_clusters.py,"Network / community plots of phonetic clusters"
v2,8,src/v2/phonetics/test_panphon_distance.py,"Panphon distance tests / dev script"
semanticsv2,1,src/semanticsv2/!test_load.py,"Quick loader / sanity check for lemma filtering"
semanticsv2,2,src/semanticsv2/build_embeddings.py,"Encode lemma list with SentenceTransformer; save embeddings and lemma list"
semanticsv2,3,src/semanticsv2/build_translations.py,"Optional RU→EN translations of lemmas using a translation pipeline"
semanticsv2,4,src/semanticsv2/cluster_embeddings.py,"PCA + KMeans clustering on semantic embeddings"
semanticsv2,5,src/semanticsv2/reduce_dimensions.py,"PCA → UMAP pipeline and plot/save semantic projection"
semanticsv2,6,src/semanticsv2/nearest_neighbours.py,"CLI tool for nearest-neighbour lookup using saved embeddings and translations"
analysisv2,1,src/analysisv2/global_correlation.py,"Compute Spearman/Pearson correlation between phonetic & semantic distance matrices"
analysisv2,2,src/analysisv2/validate_global_correlation.py,"Permutation test and bootstrap CI for the global correlation statistic"
analysisv2,3,src/analysisv2/compare_spaces.py,"Compute neighbour overlaps & rank agreement between phonetic and semantic KNNs"
analysisv2,4,src/analysisv2/fused_space_experiment.py,"Fuse semantic distances and phonetic matrix for chosen α and evaluate metrics"
analysisv2,5,src/analysisv2/plot_fusion_curve.py,"Sweep α and produce an interactive Plotly fusion-curve HTML"
analysisv2,6,src/analysisv2/umap_fused_graph.py,"UMAP projections of fused distance matrices for selected α values"
v3,1,src/v3_french_russian/preprocessing/get_dostoyevsky.py,"Scrape Russian corpora (Dostoevsky) into corpus folder"
v3,2,src/v3_french_russian/preprocessing/get_hugo.py,"Download & clean French Gutenberg texts"
v3,3,src/v3_french_russian/preprocessing/build_russian_lemmas.py,"Lemma extraction & frequency list for Russian (Natasha)"
v3,4,src/v3_french_russian/preprocessing/build_french_lemmas.py,"Lemma extraction & frequency list for French (spaCy)"
v3,5,src/v3_french_russian/preprocessing/build_russian_ipa.py,"Transliterate Russian lemmas → IPA (Epitran)"
v3,6,src/v3_french_russian/preprocessing/build_french_ipa.py,"Transliterate French lemmas → IPA (Epitran)"
v3,7,src/v3_french_russian/embeddings/build_joint_semantic_embeddings.py,"Encode RU+FR lemma lists with SentenceTransformer and save embeddings"
v3,8,src/v3_french_russian/embeddings/cross_semantic_neighbours.py,"Retrieve top-FR semantic neighbours for Russian targets"
v3,9,src/v3_french_russian/embeddings/compare_spaces.py,"Vocabulary-wide phonetic vs semantic neighbour overlap analysis"
v3,10,src/v3_french_russian/embeddings/local_a_sweep.py,"Local α-sweep on shortlist to find best α per word set"
v3,11,src/v3_french_russian/embeddings/full_vocab_hybrid_test.py,"Full-vocab α sweep reporting MRR across gold pairs"
v3,12,src/v3_french_russian/embeddings/full_vocab_bootstrap.py,"Bootstrap test of hybrid vs semantic MRR improvements"
v3,13,src/v3_french_russian/embeddings/local_bootstrap_hybrid_vs_semantic.py,"Local bootstrap comparison on shortlist"
v3,14,src/v3_french_russian/embeddings/local_per_word_affect_analysis.py,"Per-word Δ MRR analysis on shortlist"
v3,15,src/v3_french_russian/embeddings/full_vocab_per_word_affect_analysis.py,"Per-word Δ MRR analysis across full gold set"
v3,16,src/v3_french_russian/embeddings/validate_gold.py,"Sanity checks and rank reports for curated gold set"
v4,1,src/v4/2_build_7lang_pairs.py,"Use LingPy to cluster forms and produce pairwise cognate/non-cognate CSV for 7 languages"
v4,2,src/v4/7_semantic_negatives_added.py,"Generate cross-concept semantic negatives and augment dataset"
v4,3,src/v4/v6_hard_negatives.py,"(Optional) Generate hard negatives by selecting semantically-close non-positives"
v4,4,src/v4/3_extract_features.py,"Compute phonetic features (panphon, Levenshtein, phonetic vectors) for each pair"
v4,5,src/v4/5_extract_features_with_semantics.py,"Add semantic similarity (SentenceTransformer) to feature set"
v4,6,src/v4/4_train_classifier.py,"Train phonetic-only classifier and report metrics"
v4,7,src/v4/6_train_combined_classifier.py,"Train phonetic-only, semantic-only, and hybrid classifiers; report feature importances"
v4,8,src/v4/eval_gold_hybrid.py,"Evaluate trained models on curated RU–FR gold pairs (compare probabilities)"
v4,9,src/v4/lexstattest.py,"LingPy LexStat threshold diagnostics and RF pair counts"
